商品,日期,今值,预测值,前值
中国财新服务业PMI报告,2012-04-05,53.3,,53.9
中国财新服务业PMI报告,2012-05-04,54.1,,53.3
中国财新服务业PMI报告,2012-06-05,54.7,,54.1
中国财新服务业PMI报告,2012-07-04,52.3,,54.7
中国财新服务业PMI报告,2012-08-03,53.1,,52.3
中国财新服务业PMI报告,2012-09-05,52.0,,53.1
中国财新服务业PMI报告,2012-10-08,54.3,,52.0
中国财新服务业PMI报告,2012-11-05,53.5,,54.3
中国财新服务业PMI报告,2012-12-05,52.1,,53.5
中国财新服务业PMI报告,2013-01-04,51.7,,52.1
中国财新服务业PMI报告,2013-02-05,54.0,,51.7
中国财新服务业PMI报告,2013-03-05,52.1,,54.0
中国财新服务业PMI报告,2013-04-03,54.3,,52.1
中国财新服务业PMI报告,2013-05-06,51.1,,54.3
中国财新服务业PMI报告,2013-06-05,51.2,,51.1
中国财新服务业PMI报告,2013-07-03,51.3,,51.2
中国财新服务业PMI报告,2013-08-05,51.3,,51.3
中国财新服务业PMI报告,2013-09-04,52.8,,51.3
中国财新服务业PMI报告,2013-10-08,52.4,,52.8
中国财新服务业PMI报告,2013-11-05,52.6,,52.4
中国财新服务业PMI报告,2013-12-04,52.5,,52.6
中国财新服务业PMI报告,2014-01-06,50.9,,52.5
中国财新服务业PMI报告,2014-02-07,50.7,,50.9
中国财新服务业PMI报告,2014-03-05,51.0,,50.7
中国财新服务业PMI报告,2014-04-03,51.9,,51.0
中国财新服务业PMI报告,2014-05-07,51.4,,51.9
中国财新服务业PMI报告,2014-06-05,50.7,,51.4
中国财新服务业PMI报告,2014-07-03,53.1,,50.7
中国财新服务业PMI报告,2014-08-05,50.0,,53.1
中国财新服务业PMI报告,2014-09-03,54.1,,50.0
中国财新服务业PMI报告,2014-10-08,53.5,53.8,54.1
中国财新服务业PMI报告,2014-11-05,52.9,53.9,53.5
中国财新服务业PMI报告,2014-12-03,53.0,52.5,52.9
中国财新服务业PMI报告,2015-01-06,53.4,52.8,53.0
中国财新服务业PMI报告,2015-02-04,51.8,52.8,53.4
中国财新服务业PMI报告,2015-03-04,52.0,,51.8
中国财新服务业PMI报告,2015-04-03,52.3,,52.0
中国财新服务业PMI报告,2015-05-06,52.9,53.1,52.3
中国财新服务业PMI报告,2015-06-03,53.5,53.3,52.9
中国财新服务业PMI报告,2015-07-03,51.8,53.8,53.5
中国财新服务业PMI报告,2015-08-05,53.8,52.2,51.8
中国财新服务业PMI报告,2015-09-01,51.5,53.9,53.8
中国财新服务业PMI报告,2015-10-01,50.5,51.2,51.5
中国财新服务业PMI报告,2015-11-04,52.0,50.8,50.5
中国财新服务业PMI报告,2015-12-03,51.2,53.1,52.0
中国财新服务业PMI报告,2016-01-06,50.2,52.3,51.2
中国财新服务业PMI报告,2016-02-03,52.4,50.5,50.2
中国财新服务业PMI报告,2016-03-03,51.2,52.6,52.4
中国财新服务业PMI报告,2016-04-06,52.2,51.4,51.2
中国财新服务业PMI报告,2016-05-05,51.8,52.6,52.2
中国财新服务业PMI报告,2016-06-03,51.2,52.0,51.8
中国财新服务业PMI报告,2016-07-05,52.7,52.3,51.2
中国财新服务业PMI报告,2016-08-03,51.7,52.9,52.7
中国财新服务业PMI报告,2016-09-05,52.1,51.9,51.7
中国财新服务业PMI报告,2016-10-08,52.0,,52.1
中国财新服务业PMI报告,2016-11-03,52.4,52.5,52.0
中国财新服务业PMI报告,2016-12-05,53.1,52.7,52.4
中国财新服务业PMI报告,2017-01-05,53.4,53.3,53.1
中国财新服务业PMI报告,2017-02-06,53.1,53.6,53.4
中国财新服务业PMI报告,2017-03-03,52.6,53.3,53.1
中国财新服务业PMI报告,2017-04-06,52.2,53.2,52.6
中国财新服务业PMI报告,2017-05-04,51.5,52.6,52.2
中国财新服务业PMI报告,2017-06-05,52.8,51.4,51.5
中国财新服务业PMI报告,2017-07-05,51.6,52.9,52.8
中国财新服务业PMI报告,2017-08-03,51.5,51.9,51.6
中国财新服务业PMI报告,2017-09-05,52.7,51.8,51.5
中国财新服务业PMI报告,2017-10-09,50.6,53.1,52.7
中国财新服务业PMI报告,2017-11-03,51.2,50.8,50.6
中国财新服务业PMI报告,2017-12-05,51.9,51.5,51.2
中国财新服务业PMI报告,2018-01-04,53.9,51.8,51.9
中国财新服务业PMI报告,2018-02-05,54.7,53.6,53.9
中国财新服务业PMI报告,2018-03-05,54.2,54.3,54.7
中国财新服务业PMI报告,2018-04-04,52.3,54.5,54.2
中国财新服务业PMI报告,2018-05-04,52.9,52.2,52.3
中国财新服务业PMI报告,2018-06-05,52.9,52.9,52.9
中国财新服务业PMI报告,2018-07-04,53.9,52.7,52.9
中国财新服务业PMI报告,2018-08-03,52.8,53.7,53.9
中国财新服务业PMI报告,2018-09-05,51.5,52.7,52.8
中国财新服务业PMI报告,2018-10-08,53.1,51.4,51.5
中国财新服务业PMI报告,2018-11-05,50.8,52.9,53.1
中国财新服务业PMI报告,2018-12-05,53.8,50.7,50.8
中国财新服务业PMI报告,2019-01-04,53.9,52.9,53.8
中国财新服务业PMI报告,2019-02-03,53.6,53.3,53.9
中国财新服务业PMI报告,2019-03-05,51.1,53.5,53.6
中国财新服务业PMI报告,2019-04-03,54.4,52.3,51.1
中国财新服务业PMI报告,2019-05-06,54.5,54.3,54.4
中国财新服务业PMI报告,2019-06-05,52.7,54.3,54.5
中国财新服务业PMI报告,2019-07-03,52.0,52.6,52.7
中国财新服务业PMI报告,2019-08-05,51.6,52.0,52.0
中国财新服务业PMI报告,2019-09-04,52.1,,51.6
中国财新服务业PMI报告,2019-10-08,51.3,52.1,52.1
中国财新服务业PMI报告,2019-11-05,51.1,52.8,51.3
中国财新服务业PMI报告,2019-12-04,53.5,51.2,51.1
中国财新服务业PMI报告,2020-01-06,52.5,,53.5
中国财新服务业PMI报告,2020-02-05,51.8,52.6,52.5
中国财新服务业PMI报告,2020-03-04,26.5,,51.8
中国财新服务业PMI报告,2020-04-03,43.0,,26.5
中国财新服务业PMI报告,2020-05-07,44.4,,43.0
中国财新服务业PMI报告,2020-06-03,55.0,,44.4
中国财新服务业PMI报告,2020-07-03,58.4,,55.0
中国财新服务业PMI报告,2020-08-05,54.1,,58.4
中国财新服务业PMI报告,2020-09-03,54.0,,54.1
中国财新服务业PMI报告,2020-10-08,,,54.0
中国财新服务业PMI报告,2020-10-09,54.8,,54.0
中国财新服务业PMI报告,2020-11-04,56.8,,54.8
中国财新服务业PMI报告,2020-11-09,,,54.8
中国财新服务业PMI报告,2020-12-03,57.8,56.5,56.8
中国财新服务业PMI报告,2020-12-09,,,56.8
中国财新服务业PMI报告,2021-01-06,56.3,,57.8
中国财新服务业PMI报告,2021-02-03,52.0,,56.3
中国财新服务业PMI报告,2021-03-03,51.5,,52.0
中国财新服务业PMI报告,2021-04-06,54.3,,51.5
中国财新服务业PMI报告,2021-05-07,56.3,,54.3
中国财新服务业PMI报告,2021-06-03,55.1,,56.3
中国财新服务业PMI报告,2021-07-05,50.3,,55.1
中国财新服务业PMI报告,2021-08-04,54.9,,50.3
中国财新服务业PMI报告,2021-09-03,46.7,,54.9
中国财新服务业PMI报告,2021-10-08,53.4,,46.7
中国财新服务业PMI报告,2021-11-03,53.8,,53.4
中国财新服务业PMI报告,2021-12-03,52.1,52.6,53.8
中国财新服务业PMI报告,2022-01-06,53.1,,52.1
中国财新服务业PMI报告,2022-02-07,51.4,,53.1
中国财新服务业PMI报告,2022-03-03,50.2,50.9,51.4
中国财新服务业PMI报告,2022-04-06,42.0,,50.2
中国财新服务业PMI报告,2022-05-05,36.2,,42.0
中国财新服务业PMI报告,2022-06-06,41.4,,36.2
中国财新服务业PMI报告,2022-07-05,54.5,49.7,41.4
中国财新服务业PMI报告,2022-08-03,55.5,,54.5
中国财新服务业PMI报告,2022-09-05,55.0,54.0,55.5
中国财新服务业PMI报告,2022-10-08,49.3,54.5,55.0
中国财新服务业PMI报告,2022-11-03,48.4,49.2,49.3
中国财新服务业PMI报告,2022-12-05,46.7,48.0,48.4
中国财新服务业PMI报告,2023-01-05,48.0,,46.7
中国财新服务业PMI报告,2023-02-03,52.9,51.6,48.0
中国财新服务业PMI报告,2023-03-03,55.0,54.7,52.9
中国财新服务业PMI报告,2023-04-06,57.8,54.8,55.0
中国财新服务业PMI报告,2023-05-05,56.4,57.3,57.8
中国财新服务业PMI报告,2023-06-05,57.1,55.2,56.4
中国财新服务业PMI报告,2023-07-05,53.9,56.2,57.1
中国财新服务业PMI报告,2023-08-03,54.1,52.5,53.9
中国财新服务业PMI报告,2023-09-05,51.8,53.6,54.1
