月份,当月,当月-同比增长,当月-环比增长,累计,累计-同比增长
2025年04月份,20427.0,1.88538082,25.06581767,80616.0,-0.4
2025年03月份,16333.0,0.25165726,,60189.0,-1.1
2025年02月份,,,,43856.0,-1.6
2024年12月份,20692.0,24.25388819,47.49447573,219702.0,1.3
2024年11月份,14029.0,11.01527261,-36.00492656,199010.0,-0.6
2024年10月份,21922.0,5.49059237,43.440424,184981.0,-1.3
2024年09月份,15283.0,2.45357646,26.17023033,163059.0,-2.2
2024年08月份,12113.0,-2.80051356,-38.66835443,147776.0,-2.6
2024年07月份,19750.0,-1.89260345,3.94189779,135663.0,-2.6
2024年06月份,19001.0,-2.6139101,18.86025272,115913.0,-2.8
2024年05月份,15986.0,-3.23830277,-20.26534989,96912.0,-2.8
2024年04月份,20049.0,-3.7493999,23.06039774,80926.0,-2.7
2024年03月份,16292.0,-2.43727169,,60877.0,-2.3
2024年02月份,,,,44585.0,-2.3
2023年12月份,16653.0,-8.42452571,31.77969455,216784.0,6.4
2023年11月份,12637.0,4.2570745,-39.18964439,200131.0,7.9
2023年10月份,20781.0,2.64249728,39.31085339,187494.0,8.1
2023年09月份,14917.0,-1.26423087,19.69988766,166713.0,8.9
2023年08月份,12462.0,-4.59347726,-38.09547464,151796.0,10.0
2023年07月份,20131.0,1.87753036,3.17769463,139334.0,11.5
2023年06月份,19511.0,5.56757927,18.09817808,119203.0,13.3
2023年05月份,16521.0,32.74144303,-20.68650984,99692.0,14.9
2023年04月份,20830.0,69.9575718,24.73800826,83171.0,11.9
2023年03月份,16699.0,5.46292788,,62341.0,0.5
2023年02月份,,,,45642.0,-1.2
2022年12月份,18185.0,61.11455657,50.02887551,203703.0,0.6
2022年11月份,12121.0,24.62471725,-40.13138398,185518.0,-3.0
2022年10月份,20246.0,15.65177653,34.00847233,173397.0,-4.5
2022年09月份,15108.0,8.44099914,15.66375746,153151.0,-6.6
2022年08月份,13062.0,5.5771096,-33.89676113,138043.0,-8.0
2022年07月份,19760.0,-4.0776699,6.91483606,124981.0,-9.2
2022年06月份,18482.0,-10.55076953,48.49750924,105221.0,-10.2
2022年05月份,12446.0,-32.52737721,1.5502611,86739.0,-10.1
2022年04月份,12256.0,-41.33920452,-22.59694329,74293.0,-4.8
2022年03月份,15834.0,3.42259961,,62037.0,8.6
2022年02月份,,,,46203.0,10.5
2021年12月份,11287.0,-15.80635536,16.04976352,202539.0,10.7
2021年11月份,9726.0,-11.22672508,-44.44190563,191252.0,12.8
2021年10月份,17506.0,-0.14260453,25.65317255,181526.0,14.5
2021年09月份,13932.0,-2.12168048,12.60911736,164020.0,16.3
2021年08月份,12372.0,2.73187744,-39.94174757,150088.0,18.4
2021年07月份,20600.0,11.05719985,-0.30006776,137716.0,20.0
2021年06月份,20662.0,11.66234328,12.01344465,117116.0,21.8
2021年05月份,18446.0,18.70776755,-11.71205667,96454.0,24.2
2021年04月份,20893.0,29.37643198,36.46636185,78008.0,25.5
2021年03月份,15310.0,42.3921131,,57115.0,24.2
2021年02月份,,,,41805.0,18.7
2020年12月份,13406.0,17.44196233,22.36217598,182895.0,-3.9
2020年11月份,10956.0,-2.72573915,-37.50499116,169489.0,-5.3
2020年10月份,17531.0,2.96605192,23.16284952,158533.0,-5.5
2020年09月份,14234.0,4.53110083,18.19314124,141002.0,-6.4
2020年08月份,12043.0,5.28938626,-35.0746671,126768.0,-7.5
2020年07月份,18549.0,4.34268999,0.24319066,114725.0,-8.7
2020年06月份,18504.0,3.2186088,19.08102194,96176.0,-10.8
2020年05月份,15539.0,-10.01274033,-3.77732367,77672.0,-13.6
2020年04月份,16149.0,-14.98289023,50.1953125,62133.0,-14.5
2020年03月份,10752.0,-26.11324904,,45984.0,-14.3
2020年02月份,,,,35232.0,-9.9
2019年12月份,11415.0,3.59379254,1.34955163,190382.0,3.8
2019年11月份,11263.0,4.52900232,-33.84823212,178967.0,3.8
2019年10月份,17026.0,8.2596808,25.03488287,167704.0,3.8
2019年09月份,13617.0,5.04512844,19.05053331,150678.0,3.3
2019年08月份,11438.0,3.25900515,-35.65843506,137061.0,3.2
2019年07月份,17777.0,1.81557847,-0.83672673,125623.0,3.1
2019年06月份,17927.0,1.39132402,3.81630762,107846.0,3.4
2019年05月份,17268.0,-2.05887357,-9.09186628,89919.0,3.8
2019年04月份,18995.0,2.82574568,30.53188565,72651.0,5.3
2019年03月份,14552.0,3.99782742,,53656.0,6.2
2019年02月份,,,,39104.0,7.0
2018年12月份,11019.0,1.84859969,2.26450116,183352.0,6.2
2018年11月份,10775.0,-5.3579271,-31.48725122,172333.0,6.5
2018年10月份,15727.0,-3.12367178,21.32222479,161558.0,7.4
2018年09月份,12963.0,1.95847098,17.02627065,145831.0,8.7
2018年08月份,11077.0,3.98595622,-36.55784651,132868.0,9.4
