日期,沿海六大电库存,日耗,存煤可用天数
2016-01-01,1167.6,64.2,18.19
2016-01-02,1162.9,63.4,18.34
2016-01-03,1160.8,62.6,18.54
2016-01-04,1185.3,57.6,20.58
2016-01-05,1150.2,57.2,20.11
2016-01-06,1165.9,59.2,19.69
2016-01-07,1154.3,60.4,19.11
2016-01-08,1148.7,60.6,18.96
2016-01-09,1145.4,61.3,18.69
2016-01-10,1144.4,63.0,18.17
2016-01-11,1146.4,62.3,18.4
2016-01-12,1123.9,59.5,18.89
2016-01-13,1127.1,61.1,18.45
2016-01-14,1132.7,62.9,18.01
2016-01-15,1142.0,62.9,18.16
2016-01-16,1148.9,61.6,18.65
2016-01-17,1147.0,62.4,18.38
2016-01-18,1138.9,62.6,18.19
2016-01-19,1134.2,56.0,20.25
2016-01-20,1135.1,61.3,18.52
2016-01-21,1162.0,63.4,18.33
2016-01-22,1153.2,65.5,17.61
2016-01-23,1158.3,66.4,18.27
2016-01-24,1139.6,65.4,17.97
2016-01-25,1138.4,63.4,17.14
2016-01-26,1097.1,60.9,18.01
2016-01-27,1095.8,60.2,18.2
2016-01-28,1087.0,58.3,18.64
2016-01-29,1088.9,57.7,18.87
2016-01-30,1097.3,53.8,20.4
2016-01-31,1099.8,51.7,21.27
2016-02-01,1094.8,50.2,21.81
2016-02-02,1098.0,43.3,25.36
2016-02-03,1112.7,42.5,26.18
2016-02-04,1131.2,39.4,28.71
2016-02-05,1147.1,37.0,31.0
2016-02-06,1181.3,34.7,34.04
2016-02-07,1194.5,32.2,37.1
2016-02-08,1197.6,31.4,38.14
2016-02-09,1201.3,31.2,38.5
2016-02-10,1199.3,30.9,38.81
2016-02-11,1203.4,30.7,39.2
2016-02-12,1205.5,30.3,39.79
2016-02-13,1193.9,29.0,41.17
2016-02-14,1193.9,29.0,41.17
2016-02-15,1206.4,28.0,43.09
2016-02-16,1195.2,29.1,41.07
2016-02-17,1201.8,34.1,35.24
2016-02-18,1220.1,37.4,32.62
2016-02-19,1225.3,39.9,30.71
2016-02-20,1225.3,40.9,29.96
2016-02-21,1226.7,43.0,28.53
2016-02-22,1226.2,42.6,28.78
2016-02-23,1244.6,43.7,28.48
2016-02-24,1251.8,48.2,25.97
2016-02-25,1262.4,50.7,24.9
2016-02-26,1220.5,50.9,23.98
2016-02-27,1244.4,52.0,23.93
2016-02-28,1250.0,52.0,24.04
2016-02-29,1253.1,52.2,24.01
2016-03-01,1242.0,50.0,24.84
2016-03-02,1290.1,53.1,24.3
2016-03-03,1242.7,52.2,23.81
2016-03-04,1241.3,53.8,23.07
2016-03-05,1229.6,52.5,23.42
