截止日期,波罗的海好望角型船运价指数BCI,灵便型船综合运价指数BHMI,波罗的海超级大灵便型船BSI指数,波罗的海综合运价指数BDI,HRCI国际集装箱租船指数,油轮运价指数成品油运价指数BCTI,油轮运价指数原油运价指数BDTI
2025-05-29,2059.0,,956.0,1353.0,,710.0,929.0
2025-05-28,1874.0,,964.0,1303.0,,710.0,929.0
2025-05-27,1809.0,,974.0,1296.0,,712.0,947.0
2025-05-23,1900.0,,983.0,1340.0,,724.0,962.0
2025-05-22,1882.0,,986.0,1341.0,,744.0,980.0
2025-05-21,1855.0,,988.0,1337.0,,744.0,980.0
2025-05-20,1863.0,,982.0,1340.0,,717.0,989.0
2025-05-19,1888.0,,980.0,1347.0,,640.0,989.0
2025-05-16,2018.0,,978.0,1388.0,,629.0,988.0
2025-05-15,1771.0,,975.0,1305.0,,615.0,988.0
2025-05-14,1648.0,,977.0,1267.0,,588.0,987.0
2025-05-13,1671.0,,977.0,1280.0,,580.0,985.0
2025-05-12,1731.0,,970.0,1304.0,,574.0,991.0
2025-05-09,1709.0,,969.0,1299.0,,573.0,995.0
2025-05-08,1752.0,,968.0,1316.0,,571.0,1005.0
2025-05-07,1935.0,,961.0,1374.0,,575.0,1020.0
2025-05-06,2037.0,,957.0,1406.0,,586.0,1056.0
2025-05-02,2079.0,,955.0,1421.0,,606.0,1085.0
2025-05-01,2043.0,,956.0,1411.0,,617.0,1108.0
2025-04-30,1961.0,,957.0,1386.0,,633.0,1114.0
2025-04-29,1978.0,,967.0,1398.0,,644.0,1127.0
2025-04-28,1980.0,,975.0,1403.0,,665.0,1136.0
2025-04-25,1889.0,,977.0,1373.0,,678.0,1142.0
2025-04-24,1846.0,,976.0,1353.0,,676.0,1142.0
2025-04-23,1732.0,,964.0,1300.0,,669.0,1138.0
2025-04-22,1661.0,,954.0,1261.0,,656.0,1138.0
2025-04-17,1678.0,,950.0,1261.0,,670.0,1152.0
2025-04-16,1656.0,,943.0,1241.0,,695.0,1138.0
2025-04-15,1753.0,,937.0,1263.0,,687.0,1138.0
2025-04-14,1827.0,,936.0,1282.0,,690.0,1137.0
2025-04-11,1803.0,,939.0,1274.0,,679.0,1132.0
2025-04-10,1781.0,,941.0,1269.0,,664.0,1123.0
2025-04-09,1732.0,,948.0,1259.0,,662.0,1114.0
2025-04-08,1915.0,,954.0,1342.0,,669.0,1106.0
2025-04-07,2017.0,,965.0,1401.0,,676.0,1101.0
2025-04-04,2219.0,,971.0,1489.0,,676.0,1112.0
2025-04-03,2337.0,,973.0,1540.0,,682.0,1111.0
2025-04-02,2435.0,,978.0,1583.0,,696.0,1121.0
2025-04-01,2440.0,,983.0,1587.0,,731.0,1102.0
2025-03-31,2465.0,,988.0,1598.0,,758.0,1107.0
2025-03-28,2472.0,,995.0,1602.0,,789.0,1105.0
2025-03-27,2527.0,,1007.0,1621.0,,799.0,1102.0
2025-03-26,2581.0,,1014.0,1634.0,,819.0,1069.0
2025-03-25,2630.0,,1015.0,1642.0,,839.0,1011.0
2025-03-24,2690.0,,1013.0,1652.0,,840.0,994.0
