日期,1W-定价,1W-涨跌幅,2W-定价,2W-涨跌幅,1M-定价,1M-涨跌幅,3M-定价,3M-涨跌幅,6M-定价,6M-涨跌幅,1Y-定价,1Y-涨跌幅,ON-定价,ON-涨跌幅,2M-定价,2M-涨跌幅
2017-03-20,3.9428,,4.2417,,4.5038,,4.773,,4.894,,5.3115,,2.0283,,4.5915,
2017-03-21,3.9094,-3.34,4.1647,-7.7,4.5203,1.65,4.8102,3.72,4.92,2.6,5.339,2.75,2.3883,36.0,4.6113,1.98
2017-03-22,4.3795,47.01,4.5853,42.06,4.849,32.87,4.8475,3.73,4.905,-1.5,5.3175,-2.15,2.31,-7.83,4.8365,22.52
2017-03-23,4.3538,-2.57,4.393,-19.23,4.4965,-35.25,4.6713,-17.62,4.8675,-3.75,5.302,-1.55,2.2263,-8.37,4.541,-29.55
2017-03-24,4.3542,0.03,4.441,4.8,4.6027,10.62,4.8375,16.62,4.8982,3.07,5.1593,-14.27,2.2438,1.75,4.6405,9.95
2017-03-27,4.1475,-20.67,4.377,-6.4,4.5662,-3.65,4.7985,-3.9,4.818,-8.02,5.0483,-11.1,2.2753,3.15,4.591,-4.95
2017-03-28,4.155,0.75,4.3595,-1.75,4.6685,10.23,4.727,-7.15,4.7945,-2.35,4.998,-5.03,2.3848,10.95,4.69,9.9
2017-03-29,4.577,42.2,4.727,36.75,4.9565,28.8,4.87,14.3,4.858,6.35,5.0507,5.27,2.8279,44.31,4.862,17.2
2017-03-30,4.8478,27.08,4.8765,14.95,5.0268,7.03,4.9448,7.48,4.8625,0.45,5.0785,2.78,2.9909,16.3,4.9553,9.33
2017-03-31,4.389,-45.88,4.537,-33.95,4.5837,-44.32,4.626,-31.88,4.6577,-20.48,5.0308,-4.77,4.0167,102.58,4.5677,-38.77
2017-04-03,4.3835,-0.55,4.4707,-6.63,4.5185,-6.52,4.5772,-4.88,4.7825,12.48,5.0108,-2.0,4.3642,34.75,4.5443,-2.33
2017-04-05,4.3098,-7.37,4.407,-6.37,4.6227,10.42,4.7103,13.32,4.7805,-0.2,5.0258,1.5,3.4317,-93.25,4.6775,13.32
2017-04-06,3.7487,-56.12,3.8333,-57.37,4.2392,-38.35,4.466,-24.43,4.7233,-5.72,4.9902,-3.57,2.4063,-102.53,4.3463,-33.12
2017-04-07,3.8691,12.05,4.104,27.07,4.3407,10.15,4.485,1.9,4.7288,0.55,4.9757,-1.45,2.1587,-24.77,4.3908,4.45
2017-04-10,3.7878,-8.13,4.0775,-2.65,4.358,1.73,4.5138,2.88,4.7613,3.25,4.9847,0.9,2.1853,2.66,4.4307,3.98
2017-04-11,3.1065,-68.13,3.4628,-61.47,3.9097,-44.83,4.3583,-15.55,4.6595,-10.18,4.9155,-6.92,1.8703,-31.49,4.2438,-18.68
2017-04-12,2.9014,-20.51,3.2897,-17.31,3.895,-1.47,4.3463,-1.2,4.6545,-0.5,4.9025,-1.3,1.9048,3.45,4.2428,-0.1
2017-04-13,2.9603,5.89,3.302,1.23,3.5665,-32.85,4.3022,-4.42,4.5983,-5.62,4.8902,-1.23,1.9415,3.67,4.2043,-3.85
2017-04-18,3.0041,4.38,3.336,3.4,3.6055,3.9,4.335,3.28,4.5793,-1.9,4.8517,-3.85,2.006,6.45,4.0617,-14.27
2017-04-19,3.1145,11.04,3.4278,9.18,3.761,15.55,4.2768,-5.82,4.6038,2.45,4.8348,-1.68,2.1542,14.82,4.1418,8.02
2017-04-20,3.7693,65.48,3.8887,46.08,4.1467,38.57,4.3555,7.87,4.5905,-1.33,4.8637,2.88,2.5167,36.26,4.2733,13.15
2017-04-21,3.535,-23.43,3.7552,-13.35,4.0192,-12.75,4.3057,-4.98,4.5652,-2.53,4.8097,-5.4,2.446,-7.07,4.1457,-12.77
2017-04-24,3.517,-1.8,3.7622,0.7,4.0202,0.1,4.3037,-0.2,4.5532,-1.2,4.8027,-0.7,2.3754,-7.06,4.1382,-0.75
2017-04-25,3.437,-8.0,3.6777,-8.45,3.873,-14.72,4.2785,-2.52,4.5328,-2.03,4.7963,-0.63,2.164,-21.14,4.137,-0.12
2017-04-26,3.5185,8.15,3.6732,-0.45,3.887,1.4,4.2635,-1.5,4.496,-3.68,4.7565,-3.98,2.1723,0.83,4.113,-2.4
2017-04-27,3.6947,17.62,3.8432,17.0,4.11,22.3,4.4892,22.57,4.5988,10.28,4.8,4.35,2.4388,26.65,4.1878,7.48
2017-04-28,4.9023,120.77,4.8236,98.05,4.708,59.8,4.645,15.58,4.6815,8.27,4.901,10.1,2.7642,32.53,4.6672,47.93
2017-05-02,5.15,24.77,5.127,30.34,5.118,41.0,4.7832,13.82,4.732,5.05,4.9197,1.87,3.3953,63.12,4.912,24.48
2017-05-04,5.5597,40.97,5.5716,44.46,5.5757,45.77,5.0683,28.52,4.923,19.1,5.0183,9.87,4.3293,93.4,5.1472,23.52
2017-05-05,4.9025,-65.72,4.964,-60.76,4.986,-58.97,4.854,-21.43,4.8087,-11.43,4.9802,-3.82,3.541,-78.83,4.899,-24.82
2017-05-08,4.8601,-4.24,4.8745,-8.95,4.9332,-5.28,4.8865,3.25,4.8385,2.98,4.9663,-1.38,3.6397,9.87,4.9005,0.15
2017-05-09,4.9802,12.01,4.9733,9.88,5.061,12.79,4.9582,7.17,4.89,5.15,5.0097,4.33,3.8132,17.35,4.9663,6.58
2017-05-10,4.0932,-88.71,4.35,-62.33,4.797,-26.4,4.8465,-11.17,4.8485,-4.15,4.9907,-1.9,2.782,-103.12,4.8342,-13.22
2017-05-11,3.8351,-25.81,4.028,-32.2,4.516,-28.1,4.7297,-11.68,4.7857,-6.28,4.9727,-1.8,2.4753,-30.67,4.5895,-24.47
