商品,日期,今值,预测值,前值
中国以美元计算贸易帐报告,1981-02-01,-2.2,,
中国以美元计算贸易帐报告,1981-03-01,-4.9,,-2.2
中国以美元计算贸易帐报告,1981-04-01,-7.4,,-4.9
中国以美元计算贸易帐报告,1981-05-01,-4.8,,-7.4
中国以美元计算贸易帐报告,1981-06-01,-5.4,,-4.8
中国以美元计算贸易帐报告,1981-07-01,-0.9,,-5.4
中国以美元计算贸易帐报告,1981-08-01,5.1,,-0.9
中国以美元计算贸易帐报告,1981-09-01,1.2,,5.1
中国以美元计算贸易帐报告,1981-10-01,4.7,,1.2
中国以美元计算贸易帐报告,1981-11-01,6.6,,4.7
中国以美元计算贸易帐报告,1981-12-01,2.2,,6.6
中国以美元计算贸易帐报告,1982-01-01,5.6,,2.2
中国以美元计算贸易帐报告,1982-02-01,2.9,,5.6
中国以美元计算贸易帐报告,1982-03-01,1.2,,2.9
中国以美元计算贸易帐报告,1982-04-01,3.5,,1.2
中国以美元计算贸易帐报告,1982-05-01,-1.6,,3.5
中国以美元计算贸易帐报告,1982-06-01,2.3,,-1.6
中国以美元计算贸易帐报告,1982-07-01,2.6,,2.3
中国以美元计算贸易帐报告,1982-08-01,2.7,,2.6
中国以美元计算贸易帐报告,1982-09-01,2.5,,2.7
中国以美元计算贸易帐报告,1982-10-01,3.8,,2.5
中国以美元计算贸易帐报告,1982-11-01,1.1,,3.8
中国以美元计算贸易帐报告,1982-12-01,3.2,,1.1
中国以美元计算贸易帐报告,1983-01-01,5.6,,3.2
中国以美元计算贸易帐报告,1983-02-01,-0.6,,5.6
中国以美元计算贸易帐报告,1983-03-01,-1.4,,-0.6
中国以美元计算贸易帐报告,1983-04-01,1.4,,-1.4
中国以美元计算贸易帐报告,1983-05-01,-0.7,,1.4
中国以美元计算贸易帐报告,1983-06-01,2.9,,-0.7
中国以美元计算贸易帐报告,1983-07-01,3.6,,2.9
中国以美元计算贸易帐报告,1983-08-01,4.4,,3.6
中国以美元计算贸易帐报告,1983-09-01,2.2,,4.4
中国以美元计算贸易帐报告,1983-10-01,-3.5,,2.2
中国以美元计算贸易帐报告,1983-11-01,-0.3,,-3.5
中国以美元计算贸易帐报告,1983-12-01,-0.2,,-0.3
中国以美元计算贸易帐报告,1984-01-01,0.6,,-0.2
中国以美元计算贸易帐报告,1984-02-01,1.7,,0.6
中国以美元计算贸易帐报告,1984-03-01,-0.5,,1.7
中国以美元计算贸易帐报告,1984-04-01,1.4,,-0.5
中国以美元计算贸易帐报告,1984-05-01,-0.1,,1.4
中国以美元计算贸易帐报告,1984-06-01,2.3,,-0.1
中国以美元计算贸易帐报告,1984-07-01,2.8,,2.3
中国以美元计算贸易帐报告,1984-08-01,-0.4,,2.8
中国以美元计算贸易帐报告,1984-09-01,2.6,,-0.4
中国以美元计算贸易帐报告,1984-10-01,-3.7,,2.6
中国以美元计算贸易帐报告,1984-11-01,-1.4,,-3.7
中国以美元计算贸易帐报告,1984-12-01,-6.2,,-1.4
中国以美元计算贸易帐报告,1985-01-01,-9.5,,-6.2
中国以美元计算贸易帐报告,1985-02-01,-9.0,,-9.5
中国以美元计算贸易帐报告,1985-03-01,-12.6,,-9.0
中国以美元计算贸易帐报告,1985-04-01,-6.6,,-12.6
中国以美元计算贸易帐报告,1985-05-01,-10.6,,-6.6
中国以美元计算贸易帐报告,1985-06-01,-12.6,,-10.6
中国以美元计算贸易帐报告,1985-07-01,-14.5,,-12.6
中国以美元计算贸易帐报告,1985-08-01,-12.9,,-14.5
中国以美元计算贸易帐报告,1985-09-01,-12.8,,-12.9
中国以美元计算贸易帐报告,1985-10-01,-12.5,,-12.8
中国以美元计算贸易帐报告,1985-11-01,-8.9,,-12.5
中国以美元计算贸易帐报告,1985-12-01,-13.7,,-8.9
中国以美元计算贸易帐报告,1986-01-01,-25.1,,-13.7
中国以美元计算贸易帐报告,1986-02-01,-4.5,,-25.1
中国以美元计算贸易帐报告,1986-03-01,-12.9,,-4.5
中国以美元计算贸易帐报告,1986-04-01,-12.7,,-12.9
中国以美元计算贸易帐报告,1986-05-01,-14.8,,-12.7
中国以美元计算贸易帐报告,1986-06-01,-10.5,,-14.8
中国以美元计算贸易帐报告,1986-07-01,-9.4,,-10.5
中国以美元计算贸易帐报告,1986-08-01,-7.7,,-9.4
中国以美元计算贸易帐报告,1986-09-01,-9.6,,-7.7
中国以美元计算贸易帐报告,1986-10-01,-8.1,,-9.6
中国以美元计算贸易帐报告,1986-11-01,-3.8,,-8.1
中国以美元计算贸易帐报告,1986-12-01,-9.0,,-3.8
中国以美元计算贸易帐报告,1987-01-01,-17.3,,-9.0
中国以美元计算贸易帐报告,1987-02-01,-3.0,,-17.3
中国以美元计算贸易帐报告,1987-03-01,-4.0,,-3.0
中国以美元计算贸易帐报告,1987-04-01,-3.4,,-4.0
中国以美元计算贸易帐报告,1987-05-01,-6.4,,-3.4
中国以美元计算贸易帐报告,1987-06-01,-2.8,,-6.4
中国以美元计算贸易帐报告,1987-07-01,-0.4,,-2.8
中国以美元计算贸易帐报告,1987-08-01,-1.7,,-0.4
中国以美元计算贸易帐报告,1987-09-01,-2.0,,-1.7
中国以美元计算贸易帐报告,1987-10-01,-3.2,,-2.0
中国以美元计算贸易帐报告,1987-11-01,1.6,,-3.2
中国以美元计算贸易帐报告,1987-12-01,-2.7,,1.6
中国以美元计算贸易帐报告,1988-01-01,-10.4,,-2.7
中国以美元计算贸易帐报告,1988-02-01,3.3,,-10.4
中国以美元计算贸易帐报告,1988-03-01,-4.2,,3.3
中国以美元计算贸易帐报告,1988-04-01,-5.1,,-4.2
中国以美元计算贸易帐报告,1988-05-01,-3.3,,-5.1
中国以美元计算贸易帐报告,1988-06-01,0.1,,-3.3
中国以美元计算贸易帐报告,1988-07-01,-2.3,,0.1
中国以美元计算贸易帐报告,1988-08-01,-6.2,,-2.3
中国以美元计算贸易帐报告,1988-09-01,-7.3,,-6.2
中国以美元计算贸易帐报告,1988-10-01,-9.3,,-7.3
中国以美元计算贸易帐报告,1988-11-01,-3.5,,-9.3
中国以美元计算贸易帐报告,1988-12-01,-15.8,,-3.5
中国以美元计算贸易帐报告,1989-01-01,-23.8,,-15.8
中国以美元计算贸易帐报告,1989-02-01,-1.0,,-23.8
中国以美元计算贸易帐报告,1989-03-01,-7.2,,-1.0
