月份,当月,同比增长,环比增长,累计
2025年04月份,-24.0,87.63,-177.42,5333.0
2025年03月份,31.0,-59.74,240.91,5357.0
2025年02月份,-22.0,56.86,70.27,5326.0
2025年01月份,-74.0,-165.49,20.43,5348.0
2024年12月份,-93.0,26.77,53.5,5422.0
2024年11月份,-200.0,-119.78,-42.86,5515.0
2024年10月份,-140.0,-86.67,-64.71,5715.0
2024年09月份,-85.0,-157.58,20.56,5855.0
2024年08月份,-107.0,14.4,52.44,5940.0
2024年07月份,-225.0,-97.37,-32.35,6047.0
2024年06月份,-170.0,-97.67,-153.73,6272.0
2024年05月份,-67.0,58.13,65.46,6442.0
2024年04月份,-194.0,8.49,-351.95,6509.0
2024年03月份,77.0,-57.46,250.98,6703.0
2024年02月份,-51.0,23.88,-145.13,6626.0
2024年01月份,113.0,-9.6,188.98,6677.0
2023年12月份,-127.0,62.87,-39.56,6564.0
2023年11月份,-91.0,55.61,-21.33,6691.0
2023年10月份,-75.0,71.59,-127.27,6782.0
2023年09月份,-33.0,69.72,73.6,6857.0
2023年08月份,-125.0,63.98,-9.65,6890.0
2023年07月份,-114.0,63.34,-32.56,7015.0
2023年06月份,-86.0,50.29,46.25,7129.0
2023年05月份,-160.0,-39.13,24.53,7215.0
2023年04月份,-212.0,2.75,-217.13,7375.0
2023年03月份,181.0,244.8,370.15,7587.0
2023年02月份,-67.0,-126.91,-153.6,7406.0
2023年01月份,125.0,-30.17,136.55,7473.0
2022年12月份,-342.0,5.26,-66.83,7348.0
2022年11月份,-205.0,-279.63,22.35,7690.0
2022年10月份,-264.0,-303.08,-142.2,7895.0
2022年09月份,-109.0,-581.25,68.59,8159.0
2022年08月份,-347.0,-2378.57,-11.58,8268.0
2022年07月份,-311.0,-972.41,-79.77,8615.0
2022年06月份,-173.0,-269.61,-50.43,8926.0
2022年05月份,-115.0,-182.73,47.25,9099.0
2022年04月份,-218.0,-435.38,-74.4,9214.0
2022年03月份,-125.0,-794.44,-150.2,9432.0
2022年02月份,249.0,822.22,39.11,9557.0
2022年01月份,179.0,-60.22,149.58,9308.0
2021年12月份,-361.0,3.99,-568.52,9129.0
2021年11月份,-54.0,70.65,-141.54,9490.0
2021年10月份,130.0,-45.38,912.5,9544.0
2021年09月份,-16.0,52.94,-14.29,9414.0
2021年08月份,-14.0,-107.25,51.72,9430.0
2021年07月份,-29.0,-115.1,-128.43,9444.0
2021年06月份,102.0,-33.77,-26.62,9473.0
2021年05月份,139.0,-12.03,113.85,9371.0
2021年04月份,65.0,-68.6,261.11,9232.0
2021年03月份,18.0,154.55,-33.33,9167.0
2021年02月份,27.0,-86.43,-94.0,9149.0
2021年01月份,450.0,405.62,219.68,9122.0
2020年12月份,-376.0,-388.31,-104.35,8672.0
2020年11月份,-184.0,-360.0,-177.31,9048.0
2020年10月份,238.0,2263.64,800.0,9232.0
2020年09月份,-34.0,35.85,-117.62,8994.0
2020年08月份,193.0,1478.57,0.52,9028.0
2020年07月份,192.0,256.1,24.68,8835.0
2020年06月份,154.0,294.94,-2.53,8643.0
2020年05月份,158.0,154.84,-23.67,8489.0
2020年04月份,207.0,200.49,727.27,8331.0
2020年03月份,-33.0,-153.23,-116.58,8124.0
2020年02月份,199.0,729.17,123.6,8157.0
2020年01月份,89.0,-76.33,215.58,7958.0
2019年12月份,-77.0,30.0,-92.5,7869.0
2019年11月份,-40.0,77.4,-263.64,7946.0
2019年10月份,-11.0,-123.91,79.25,7986.0
2019年09月份,-53.0,69.01,-278.57,7997.0
2019年08月份,-14.0,77.42,88.62,8050.0
2019年07月份,-123.0,3.15,-55.7,8064.0
2019年06月份,-79.0,47.68,-227.42,8187.0
2019年05月份,62.0,237.78,130.1,8266.0
2019年04月份,-206.0,-602.44,-432.26,8204.0
2019年03月份,62.0,127.8,158.33,8410.0
2019年02月份,24.0,-68.0,-93.62,8348.0
2019年01月份,376.0,-20.51,441.82,8324.0
2018年12月份,-110.0,-334.04,37.85,7948.0
2018年11月份,-177.0,-270.19,-484.78,8058.0
2018年10月份,46.0,-29.23,126.9,8235.0
2018年09月份,-171.0,-4.27,-175.81,8189.0
2018年08月份,-62.0,-19.23,51.18,8360.0
2018年07月份,-127.0,-344.23,15.89,8422.0
2018年06月份,-151.0,-219.84,-235.56,8549.0
2018年05月份,-45.0,59.82,-209.76,8700.0
2018年04月份,41.0,174.55,118.39,8745.0
2018年03月份,-223.0,-443.08,-397.33,8704.0
2018年02月份,75.0,-62.31,-84.14,8927.0
2018年01月份,473.0,92.28,906.38,8852.0
2017年12月份,47.0,128.31,-54.81,8379.0
2017年11月份,104.0,420.0,60.0,8332.0
2017年10月份,65.0,258.54,139.63,8228.0
2017年09月份,-164.0,-215.38,-215.38,8163.0
2017年08月份,-52.0,-117.45,-200.0,8327.0
2017年07月份,52.0,200.0,-58.73,8379.0
2017年06月份,126.0,152.0,212.5,8327.0
2017年05月份,-112.0,37.78,-103.64,8201.0
2017年04月份,-55.0,48.6,-184.62,8313.0
2017年03月份,65.0,181.25,-67.34,8368.0
2017年02月份,199.0,397.01,-19.11,8303.0
2017年01月份,246.0,461.76,248.19,8104.0
2016年12月份,-166.0,-59.84,-930.0,7858.0
2016年11月份,20.0,107.62,148.78,8024.0
2016年10月份,-41.0,76.37,21.15,8004.0
2016年09月份,-52.0,89.7,-117.45,8045.0
2016年08月份,298.0,1561.36,673.08,8097.0
2016年07月份,-52.0,-133.01,-204.0,7799.0
2016年06月份,50.0,251.04,127.78,7851.0
2016年05月份,-180.0,-9054.62,-68.22,7801.0
2016年04月份,-107.0,-304.21,-33.75,7981.0
2016年03月份,-80.0,-174.14,-19.4,8088.0
2016年02月份,-67.0,13.8,1.47,8168.0
