date,open,high,low,close,volume
2022-05-26,26685.02,26898.75,26597.97,26604.84,0
2022-05-27,26947.8,26996.7,26731.6,26781.68,0
2022-05-30,27092.82,27401.24,27057.2,27369.43,0
2022-05-31,27318.09,27463.33,27250.7,27279.8,0
2022-06-01,27295.63,27482.31,27295.42,27457.89,0
2022-06-02,27340.52,27450.47,27251.24,27413.88,0
2022-06-03,27660.62,27776.33,27614.86,27761.57,0
2022-06-06,27549.64,27979.54,27523.95,27915.89,0
2022-06-07,27984.79,28094.73,27863.38,27943.95,0
2022-06-08,28100.26,28234.29,28089.78,28234.29,0
2022-06-09,28189.35,28389.75,28189.35,28246.53,0
2022-06-10,27996.35,28044.45,27795.17,27824.29,0
2022-06-13,27369.66,27389.3,26948.22,26987.44,0
2022-06-14,26555.75,26657.92,26357.9,26629.86,0
2022-06-15,26625.68,26638.76,26321.68,26326.16,0
2022-06-16,26715.52,26947.7,26431.2,26431.2,0
2022-06-17,25988.2,26072.35,25720.8,25963.0,0
2022-06-20,26156.62,26156.62,25520.23,25771.22,0
2022-06-21,26070.92,26418.84,25972.28,26246.31,0
2022-06-22,26441.72,26462.83,26149.17,26149.55,0
2022-06-23,26134.89,26401.97,26039.57,26171.25,0
2022-06-24,26228.42,26519.16,26148.56,26491.97,0
2022-06-27,26741.8,26938.43,26665.44,26871.27,0
2022-06-28,26795.68,27062.31,26789.5,27049.47,0
2022-06-29,26814.23,26858.68,26687.47,26804.6,0
2022-06-30,26753.28,26753.28,26324.31,26393.04,0
2022-07-01,26460.71,26531.24,25841.75,25935.62,0
2022-07-04,26086.78,26258.86,25945.83,26153.81,0
2022-07-05,26386.23,26532.51,26294.84,26423.47,0
2022-07-06,26190.4,26298.96,26051.19,26107.65,0
2022-07-07,26280.94,26533.65,26136.99,26490.53,0
2022-07-08,26623.85,26881.75,26510.53,26517.19,0
2022-07-11,26892.73,27062.17,26710.59,26812.3,0
2022-07-12,26701.0,26718.67,26278.28,26336.66,0
2022-07-13,26403.79,26543.07,26389.1,26478.77,0
2022-07-14,26357.32,26713.07,26312.79,26643.39,0
2022-07-15,26736.08,26857.77,26571.38,26788.47,0
2022-07-19,27003.83,27043.58,26791.71,26961.68,0
2022-07-20,27295.95,27692.85,27295.95,27680.26,0
2022-07-21,27627.88,27803.0,27549.56,27803.0,0
2022-07-22,27773.14,27952.25,27701.25,27914.66,0
2022-07-25,27697.77,27848.59,27663.16,27699.25,0
2022-07-26,27682.2,27715.78,27538.39,27655.21,0
2022-07-27,27575.16,27772.97,27525.09,27715.75,0
2022-07-28,27909.15,28015.68,27651.99,27815.48,0
2022-07-29,27915.22,28001.8,27725.24,27801.64,0
2022-08-01,27813.82,27993.35,27751.59,27993.35,0
2022-08-02,27812.48,27830.58,27530.6,27594.73,0
2022-08-03,27673.0,27837.63,27634.65,27741.9,0
2022-08-04,27930.94,28005.59,27870.05,27932.2,0
2022-08-05,27915.06,28190.04,27910.22,28175.87,0
2022-08-08,28050.09,28279.12,28047.08,28249.24,0
2022-08-09,28236.84,28257.34,27966.91,27999.96,0
2022-08-10,27955.11,27964.96,27729.46,27819.33,0
2022-08-12,28251.74,28546.98,28207.86,28546.98,0
2022-08-15,28623.78,28897.07,28623.78,28871.78,0
2022-08-16,28829.53,28928.16,28752.88,28868.91,0
2022-08-17,28952.65,29222.77,28944.71,29222.77,0
2022-08-18,28957.4,28999.64,28846.52,28942.14,0
2022-08-19,29095.71,29150.8,28913.05,28930.33,0
2022-08-22,28654.07,28828.21,28586.36,28794.5,0
2022-08-23,28580.2,28580.2,28395.3,28452.75,0
2022-08-24,28481.34,28515.61,28282.21,28313.47,0
2022-08-25,28415.11,28534.71,28357.03,28479.01,0
2022-08-26,28639.47,28792.93,28608.7,28641.38,0
2022-08-29,28161.06,28179.09,27788.12,27878.96,0
2022-08-30,28086.72,28233.8,27944.25,28195.58,0
2022-08-31,27928.09,28104.8,27906.17,28091.53,0
2022-09-01,27797.0,27832.78,27589.7,27661.47,0
2022-09-02,27755.6,27772.37,27570.74,27650.84,0
2022-09-05,27567.29,27673.44,27511.68,27619.61,0
2022-09-06,27650.15,27813.78,27557.99,27626.51,0
2022-09-07,27546.01,27546.01,27268.7,27430.3,0
2022-09-08,27732.68,28083.79,27718.3,28065.28,0
2022-09-09,28204.71,28286.02,28091.38,28214.75,0
2022-09-12,28483.59,28612.89,28438.37,28542.11,0
2022-09-13,28556.21,28659.76,28530.36,28614.63,0
2022-09-14,28132.7,28141.92,27795.64,27818.62,0
2022-09-15,27873.96,27946.2,27801.44,27875.91,0
2022-09-16,27631.39,27654.99,27525.68,27567.65,0
2022-09-20,27788.68,27907.45,27627.86,27688.42,0
2022-09-21,27440.84,27467.34,27297.5,27313.13,0
2022-09-22,27053.58,27197.07,26955.18,27153.83,0
2022-09-26,26779.44,26779.44,26424.6,26431.55,0
2022-09-27,26585.38,26680.2,26523.77,26571.87,0
2022-09-28,26422.86,26516.32,25938.36,26173.98,0
2022-09-29,26280.5,26458.67,26221.78,26422.05,0
2022-09-30,26240.0,26273.65,25805.59,25937.21,0
2022-10-03,25778.95,26223.84,25621.96,26215.79,0
2022-10-04,26653.49,26994.44,26633.52,26992.21,0
2022-10-05,27211.32,27216.8,27030.55,27120.53,0
2022-10-06,27137.98,27399.19,27137.98,27311.3,0
2022-10-07,26975.92,27198.91,26921.9,27116.11,0
2022-10-11,26757.12,26759.62,26369.56,26401.25,0
2022-10-12,26353.22,26495.75,26313.41,26396.83,0
2022-10-13,26398.29,26408.31,26237.42,26237.42,0
2022-10-14,26599.32,27180.16,26595.35,27090.76,0
2022-10-17,26785.02,26814.92,26649.13,26775.79,0
2022-10-18,27167.73,27229.88,26910.1,27156.14,0
2022-10-19,27225.17,27371.38,27192.79,27257.38,0
2022-10-20,26981.75,27092.55,26872.45,27006.96,0
2022-10-21,26903.5,26985.38,26869.38,26890.58,0
2022-10-24,27233.0,27308.97,26974.9,26974.9,0
2022-10-25,27113.2,27337.8,27073.18,27250.28,0
2022-10-26,27410.64,27578.05,27404.9,27431.84,0
2022-10-27,27407.23,27450.26,27330.79,27345.24,0
2022-10-28,27097.38,27265.46,26981.08,27105.2,0
2022-10-31,27404.3,27602.99,27392.99,27587.46,0
2022-11-01,27614.64,27682.97,27526.18,27678.92,0
2022-11-02,27562.3,27692.55,27546.88,27663.39,0
2022-11-04,27371.89,27389.3,27032.02,27199.74,0
2022-11-07,27406.78,27578.01,27357.53,27527.64,0
2022-11-08,27718.84,27943.27,27704.64,27872.11,0
2022-11-09,27884.55,27926.52,27688.86,27716.43,0
2022-11-10,27459.08,27485.38,27370.62,27446.1,0
2022-11-11,27868.69,28329.54,27837.09,28263.57,0
2022-11-14,28277.64,28305.04,27963.47,27963.47,0
2022-11-15,27940.26,28038.63,27903.27,27990.17,0
2022-11-16,28020.49,28069.25,27743.15,28028.3,0
2022-11-17,27952.21,28029.62,27910.01,27930.57,0
2022-11-18,28009.82,28045.44,27877.78,27899.77,0
